"Date & Time","use [kW]","gen [kW]","Power Phase1 [kW]","Power Phase2 [kW]","Power Phase 3 [kW]","Intensity Phase1 [A]","Intensity Phase2 [A]","Intensity Phase3 [A]","Main Circuit Breaker [kW]"
2015-10-01 09:36:00,94.379833333,-0.000000000,32.184416667,33.177916667,29.017500000,163.743974444,167.173207940,151.020940506,94.379833333
2015-10-01 09:35:00,93.336933333,-0.000000000,32.320483333,32.725933333,28.290516667,160.345207616,161.308374328,143.463790147,93.336933333
2015-10-01 09:34:00,98.205333333,-0.000000000,33.725950000,35.116950000,29.362433333,168.041307982,172.952624881,149.785240448,98.205333333
2015-10-01 09:33:00,94.467483333,-0.000000000,32.896033333,32.738383333,28.833066667,166.434524572,165.138841177,149.780107114,94.467483333
2015-10-01 09:32:00,89.321716667,-0.000000000,31.304700000,30.258583333,27.758433333,159.403857571,154.510257339,145.158356895,89.321716667
2015-10-01 09:31:00,94.785683333,-0.000000000,32.604000000,32.907483333,29.274200000,165.698391204,165.780924541,152.248890565,94.785683333
2015-10-01 09:30:00,93.879666667,-0.000000000,32.162566667,33.086700000,28.630400000,164.192124465,166.902074594,149.611373773,93.879666667
2015-10-01 09:29:00,98.464116667,-0.000000000,34.099716667,33.597383333,30.767016667,173.081991554,170.161041416,159.356207569,98.464116667
2015-10-01 09:28:00,101.392950000,-0.000000000,35.328433333,34.521650000,31.542866667,178.302208469,173.746674919,162.453457716,101.392950000
2015-10-01 09:27:00,95.191216667,-0.000000000,31.790366667,33.965466667,29.435383333,161.707907681,168.932524691,151.629273869,95.191216667
2015-10-01 09:26:00,97.637233333,-0.000000000,34.355433333,33.367766667,29.914033333,172.289558183,166.918307928,153.779907304,97.637233333
2015-10-01 09:25:00,96.421433333,-0.000000000,32.677700000,32.843350000,30.900383333,165.538157863,165.206591180,157.541290816,96.421433333
2015-10-01 09:24:00,98.558283333,-0.000000000,33.721916667,34.773850000,30.062516667,169.815208066,173.292058231,154.481624004,98.558283333
2015-10-01 09:23:00,99.856400000,-0.000000000,35.296183333,33.200633333,31.359583333,176.606258388,167.650974630,160.596557628,99.856400000
2015-10-01 09:22:00,102.758183333,-0.000000000,35.005016667,35.880616667,31.872550000,175.149108319,177.836591780,162.454941050,102.758183333
2015-10-01 09:21:00,102.906800000,-0.000000000,35.204750000,36.360900000,31.341150000,175.797441683,179.696025202,159.597157580,102.906800000
2015-10-01 09:20:00,100.052633333,-0.000000000,33.977266667,35.131166667,30.944200000,169.517108052,173.508324908,156.653924107,100.052633333
2015-10-01 09:19:00,97.505483333,-0.000000000,34.466716667,32.476483333,30.562283333,171.788724826,163.111707747,155.851007403,97.505483333
2015-10-01 09:18:00,97.858600000,-0.000000000,32.289616667,35.206250000,30.362733333,163.157107750,174.146024938,154.720307349,97.858600000
2015-10-01 09:17:00,102.410733333,-0.000000000,35.637366667,34.693016667,32.080350000,175.699141679,170.644208105,160.957140978,102.410733333
2015-10-01 09:16:00,102.842633333,-0.000000000,33.341766667,36.642033333,32.858833333,167.582691293,180.099508554,164.918007833,102.842633333
2015-10-01 09:15:00,99.986950000,-0.000000000,35.183033333,33.381800000,31.422116667,175.723325013,167.564557959,160.471290955,99.986950000
2015-10-01 09:14:00,85.711333333,-0.000000000,28.862433333,29.424583333,27.424316667,149.494240434,150.956707170,143.777590162,85.711333333
2015-10-01 09:13:00,97.034283333,-0.000000000,34.143200000,32.299400000,30.591683333,170.204191418,162.212957705,155.896807405,97.034283333
2015-10-01 09:12:00,96.708300000,-0.000000000,32.244366667,34.578633333,29.885300000,163.160107750,171.740541491,153.214373944,96.708300000
2015-10-01 09:11:00,88.612233333,-0.000000000,31.453000000,30.172216667,26.987016667,159.753357588,154.052607317,142.057606747,88.612233333
2015-10-01 09:10:00,85.997183333,-0.000000000,29.945283333,29.824916667,26.226983333,152.983607266,151.937807217,138.240573233,85.997183333
2015-10-01 09:09:00,83.863150000,-0.000000000,29.302583333,29.078583333,25.481983333,149.639940441,148.224323707,134.653056396,83.863150000
2015-10-01 09:08:00,83.840750000,-0.000000000,29.659650000,28.966333333,25.214766667,147.336190331,144.461123528,129.293306141,83.840750000
2015-10-01 09:07:00,83.475633333,-0.000000000,29.604416667,28.161433333,25.709783333,149.094973748,143.208223469,134.142939705,83.475633333
2015-10-01 09:06:00,90.015100000,-0.000000000,31.324550000,31.682316667,27.008233333,159.628107582,160.639540963,143.391656811,90.015100000
2015-10-01 09:05:00,88.719766667,-0.000000000,30.604616667,31.060800000,27.054350000,155.585040723,156.994724124,142.405723431,88.719766667
2015-10-01 09:04:00,86.783533333,-0.000000000,30.249650000,30.117000000,26.416883333,150.630640488,149.829673783,135.868206453,86.783533333
2015-10-01 09:03:00,83.807300000,-0.000000000,29.880900000,28.770000000,25.156400000,148.531840388,143.763090162,130.051989510,83.807300000
2015-10-01 09:02:00,86.956316667,-0.000000000,30.006650000,30.692416667,26.257250000,149.899573787,152.247957231,135.197173088,86.956316667
2015-10-01 09:01:00,79.947050000,-0.000000000,29.208816667,26.582916667,24.155316667,144.112373512,133.257606329,124.422022576,79.947050000
2015-10-01 09:00:00,71.292350000,-0.000000000,24.315483333,25.296816667,21.680050000,122.687572494,126.373456002,112.649422017,71.292350000
2015-10-01 08:59:00,76.767533333,-0.000000000,26.285433333,27.182766667,23.299333333,130.325689523,133.348589667,118.852655645,76.767533333
2015-10-01 08:58:00,75.299816667,-0.000000000,26.697650000,26.125333333,22.476833333,131.834922928,129.194922803,115.293172143,75.299816667
2015-10-01 08:57:00,72.981700000,-0.000000000,25.413466667,24.684466667,22.883766667,127.390056051,124.519972581,118.096988943,72.981700000
2015-10-01 08:56:00,76.850350000,-0.000000000,27.654650000,26.449150000,22.746550000,136.811156498,132.042806272,118.235455616,76.850350000
2015-10-01 08:55:00,75.973133333,-0.000000000,26.464900000,26.897233333,22.611000000,132.363272954,134.004023032,117.534922249,75.973133333
2015-10-01 08:54:00,80.983650000,-0.000000000,27.459333333,28.336533333,25.187783333,136.153273134,139.325573284,127.501256056,80.983650000
2015-10-01 08:53:00,75.207666667,-0.000000000,27.555800000,24.779383333,22.872483333,133.858689691,122.728072496,115.480022152,75.207666667
2015-10-01 08:52:00,72.396533333,-0.000000000,24.610533333,25.596333333,22.189666667,122.096889133,126.183689327,112.873105361,72.396533333
2015-10-01 08:51:00,74.475333333,-0.000000000,25.699350000,26.336800000,22.439183333,126.589356013,129.109172799,113.688172067,74.475333333
2015-10-01 08:50:00,76.050916667,-0.000000000,27.183800000,25.895750000,22.971366667,132.768822973,127.385172717,116.295838857,76.050916667
2015-10-01 08:49:00,77.451400000,-0.000000000,26.352533333,27.647483333,23.451383333,130.258906187,135.441639766,119.102572324,77.451400000
2015-10-01 08:48:00,80.915850000,-0.000000000,29.149283333,27.806566667,23.960000000,142.219956755,136.619489822,121.412839100,80.915850000
2015-10-01 08:47:00,76.973583333,-0.000000000,26.682850000,26.776866667,23.513866667,131.705639589,132.117822942,119.161488993,76.973583333
2015-10-01 08:46:00,74.909900000,-0.000000000,26.152883333,25.277600000,23.479416667,129.111372799,125.849705978,118.756288974,74.909900000
2015-10-01 08:45:00,81.363633333,-0.000000000,29.155983333,27.671516667,24.536133333,141.848840071,135.395289764,123.195072518,81.363633333
2015-10-01 08:44:00,76.834700000,-0.000000000,25.236016667,27.870416667,23.728266667,124.160172564,134.323739713,117.965588936,76.834700000
2015-10-01 08:43:00,77.702533333,-0.000000000,27.135766667,26.322833333,24.243933333,132.672639635,129.143789467,121.158622421,77.702533333
2015-10-01 08:42:00,79.513083333,-0.000000000,28.185800000,26.743783333,24.583500000,137.556523200,131.354522906,123.103339180,79.513083333
2015-10-01 08:41:00,79.226050000,-0.000000000,26.935600000,27.384483333,24.905966667,133.335473000,134.778823068,125.320522619,79.226050000
2015-10-01 08:40:00,83.172133333,-0.000000000,28.494900000,29.181516667,25.495716667,140.493123340,142.812090117,128.954306125,83.172133333
2015-10-01 08:39:00,86.029450000,-0.000000000,29.904500000,28.812083333,27.312866667,147.281823662,142.460590100,137.182856516,86.029450000
2015-10-01 08:38:00,88.561350000,-0.000000000,30.265066667,31.267133333,27.029150000,149.006390411,152.598057248,136.011456460,88.561350000
2015-10-01 08:37:00,87.937000000,-0.000000000,31.022766667,29.622550000,27.291683333,152.137957226,146.091890272,137.488823197,87.937000000
2015-10-01 08:36:00,86.537533333,-0.000000000,29.860766667,29.766900000,26.909866667,146.922056978,146.069656938,135.159456420,86.537533333
2015-10-01 08:35:00,87.760516667,-0.000000000,30.528400000,30.584600000,26.647516667,149.097673748,148.404757049,133.473956340,87.760516667
2015-10-01 08:34:00,83.650233333,-0.000000000,28.557450000,30.312383333,24.780400000,140.351340000,146.684923634,124.711289257,83.650233333
2015-10-01 08:33:00,84.426766667,-0.000000000,29.106600000,28.978816667,26.341350000,142.909423454,141.811106736,131.678056254,84.426766667
2015-10-01 08:32:00,90.998416667,-0.000000000,31.404833333,32.209500000,27.384083333,153.354907284,155.948374074,136.753689829,90.998416667
2015-10-01 08:31:00,90.489383333,-0.000000000,30.657583333,32.349333333,27.482466667,151.141773846,157.318107472,138.225373232,90.489383333
2015-10-01 08:30:00,92.802750000,-0.000000000,32.420383333,32.062450000,28.319916667,158.390990857,156.142090750,141.991806744,92.802750000
2015-10-01 08:29:00,91.360750000,-0.000000000,31.025450000,31.622733333,28.712566667,152.488540576,154.247507326,143.057256795,91.360750000
2015-10-01 08:28:00,93.921816667,-0.000000000,32.171950000,33.761600000,27.988266667,155.927140739,161.563574341,138.484773244,93.921816667
2015-10-01 08:27:00,88.292783333,-0.000000000,30.318616667,30.953233333,27.020933333,147.822457021,149.591240439,134.167089706,88.292783333
2015-10-01 08:26:00,96.776633333,-0.000000000,33.302066667,34.371433333,29.103133333,160.904024309,164.239591134,143.332873475,96.776633333
2015-10-01 08:25:00,84.902183333,-0.000000000,28.084416667,30.072650000,26.745116667,139.458523291,146.552723628,133.949323029,84.902183333
2015-10-01 08:24:00,85.330233333,-0.000000000,30.598900000,28.445233333,26.286100000,150.438823812,140.898990026,133.115972989,85.330233333
2015-10-01 08:23:00,80.276366667,-0.000000000,28.270100000,26.268383333,25.737883333,140.576140010,131.978572935,130.735639543,80.276366667
2015-10-01 08:22:00,87.195250000,-0.000000000,30.429550000,30.151633333,26.614066667,149.861340451,147.760373685,134.381023049,87.195250000
2015-10-01 08:21:00,87.700216667,-0.000000000,31.018566667,29.555866667,27.125783333,153.209807277,146.286890282,137.785173211,87.700216667
2015-10-01 08:20:00,87.579866667,-0.000000000,30.910066667,29.599166667,27.070633333,152.305857234,146.075790272,136.967223172,87.579866667
2015-10-01 08:19:00,91.350400000,-0.000000000,31.369283333,31.333033333,28.648083333,154.860074022,153.719173968,143.631373489,91.350400000
2015-10-01 08:18:00,83.712000000,-0.000000000,28.910150000,28.738866667,26.062983333,142.716990112,140.977956696,130.984139555,83.712000000
2015-10-01 08:17:00,74.943866667,-0.000000000,25.998916667,24.863116667,24.081833333,129.511656151,124.243305901,121.885422456,74.943866667
2015-10-01 08:16:00,74.275433333,-0.000000000,26.696600000,24.741566667,22.837266667,131.797739593,123.220305853,116.719388877,74.275433333
